SITE,TAG,SPP,diameter_2017,diameter_2018,diameter_2019
1a,17,AceRub,6.11,6.22,6.41
1a,19,AceRub,6.77,6.85,6.98
1a,28,AceRub,4.62,4.63,4.65
1a,29,AceRub,8.42,8.45,8.49
1a,40,AceRub,4.31,4.31,4.31
1a,41,AceRub,8.71,8.85,9.1
1a,43,AceRub,8,8.01,8.12
1a,44,AceRub,3.9,3.9,3.9
1a,46,AceRub,8.28,8.29,8.33
1a,48,AceRub,4.05,4.11,4.16
1a,53,AceRub,4.98,4.99,5.01
1a,54,AceRub,5.7,5.7,5.7
1a,60,AceRub,4.63,4.65,4.72
1a,61,AceRub,4.28,4.28,4.29
1a,62,AceRub,4.95,4.96,5.11
1a,63,AceRub,7.5,7.5,7.59
1a,67,AceRub,5.67,5.79,5.89
1a,68,AceRub,4.03,4.03,4.08
1a,69,AceRub,4.75,4.85,4.9
1a,72,AceRub,13.21,13.4,13.49
1a,73,AceRub,7.4,7.44,7.49
1a,74,AceRub,3.93,4.08,4.2
1a,78,AceRub,5.48,5.53,5.62
1a,88,AceRub,3.72,3.72,3.72
1a,89,AceRub,3.14,3.2,3.32
1a,90,AceRub,3.7,3.8,3.89
1a,91,AceRub,2.97,3,3
1a,92,AceRub,4.9,4.9,4.9
1a,98,AceRub,3.7,3.77,3.8
1a,39,FraCar,5.64,5.64,5.7
1a,82,FraCar,4.71,4.75,4.89
1a,83,FraCar,2.89,2.9,2.9
1a,9,NysAqu,31.7,31.83,32.08
1a,12,NysAqu,30,30.25,30.6
1a,13,NysAqu,16.7,16.74,16.88
1a,20,NysAqu,12.2,12.3,12.41
1a,25,NysAqu,38.2,38.4,38.6
1a,31,NysAqu,26.65,26.8,27.02
1a,38,NysAqu,44.8,44.85,45
1a,50,NysAqu,16.13,16.16,16.17
1a,51,NysAqu,15.01,15.07,15.18
1a,52,NysAqu,36.4,36.5,36.68
1a,70,NysAqu,33.91,34.3,34.34
1a,71,NysAqu,23.22,23.25,23.39
1a,77,NysAqu,44.62,44.85,44.91
1a,85,NysAqu,29.87,29.87,29.87
1a,87,NysAqu,40.1,40.2,40.32
1a,95,NysAqu,41.2,41.28,41.38
1a,1,TaxDis,17.3,17.5,17.73
1a,2,TaxDis,6.49,6.64,6.84
1a,3,TaxDis,15.61,15.68,15.78
1a,4,TaxDis,22.8,22.88,22.88
1a,5,TaxDis,15.35,15.35,15.35
1a,6,TaxDis,8.2,8.25,8.3
1a,7,TaxDis,28.7,29.09,29.24
1a,8,TaxDis,18.7,18.7,18.7
1a,10,TaxDis,25.75,25.8,26.1
1a,11,TaxDis,16.21,16.35,16.45
1a,15,TaxDis,40.3,40.6,41.08
1a,16,TaxDis,19.63,19.63,19.63
1a,18,TaxDis,56.39,56.64,56.92
1a,21,TaxDis,18.64,18.8,18.9
1a,22,TaxDis,34.4,34.78,35.12
1a,23,TaxDis,19.7,19.78,19.8
1a,24,TaxDis,28.3,28.3,28.35
1a,26,TaxDis,19.85,19.88,20
1a,27,TaxDis,20.2,20.35,20.5
1a,30,TaxDis,28.57,28.8,29.2
1a,32,TaxDis,23,23,23
1a,33,TaxDis,34.62,34.97,35.29
1a,34,TaxDis,24.58,24.79,25.01
1a,35,TaxDis,23,23.19,23.38
1a,36,TaxDis,22,22.12,22.3
1a,37,TaxDis,19.13,19.17,19.29
1a,42,TaxDis,16.17,17.22,16.4
1a,45,TaxDis,40.44,40.67,41.04
1a,47,TaxDis,17.18,17.18,17.18
1a,55,TaxDis,24.6,24.78,24.92
1a,56,TaxDis,17.31,17.79,18
1a,57,TaxDis,17.4,17.4,17.4
1a,58,TaxDis,43.22,43.55,43.78
1a,64,TaxDis,24.48,24.62,24.7
1a,65,TaxDis,18.51,18.51,18.51
1a,66,TaxDis,30.15,30.39,30.5
1a,75,TaxDis,11.05,11.05,11.05
1a,76,TaxDis,27.86,27.92,28.18
1a,79,TaxDis,14.75,14.85,14.98
1a,80,TaxDis,25.56,25.8,26.1
1a,81,TaxDis,16.18,16.28,16.38
1a,84,TaxDis,20,20.2,20.3
1a,86,TaxDis,22.15,22.37,22.59
1a,93,TaxDis,32.71,32.75,32.9
1a,94,TaxDis,34.33,34.5,34.7
1a,96,TaxDis,38.04,38.04,38.04
1a,97,TaxDis,41.18,41.52,42
1a,99,TaxDis,22.94,22.94,22.98
1b,100,TaxDis,28.75,29.11,29.32
1b,115,AceRub,6.34,6.34,6.38
1b,116,AceRub,6.51,6.69,6.81
1b,120,AceRub,4.1,4.15,4.2
1b,131,AceRub,5.6,5.72,5.79
1b,141,AceRub,9.26,9.28,9.4
1b,142,AceRub,8,8.05,8.08
1b,143,AceRub,5.21,5.45,5.73
1b,145,AceRub,6.14,6.16,6.18
1b,147,AceRub,5.75,5.76,5.78
1b,148,AceRub,4.35,4.45,4.69
1b,155,AceRub,3.95,3.95,3.95
1b,171,AceRub,18.11,18.13,18.16
1b,172,AceRub,14.43,14.46,14.48
1b,176,AceRub,4,4,4
1b,177,AceRub,3.8,3.83,4
1b,178,AceRub,8.98,8.98,9.03
1b,181,AceRub,9.65,9.7,9.78
1b,184,AceRub,5.49,5.65,5.87
1b,185,AceRub,7.79,7.79,7.79
1b,186,AceRub,5.5,5.68,6.02
1b,187,AceRub,15.92,15.97,15.97
1b,191,AceRub,10.08,10.34,10.62
1b,192,AceRub,7.99,7.99,8.5
1b,195,AceRub,7.3,7.32,7.35
1b,199,AceRub,5.15,5.22,5.32
1b,298,AceRub,8.2,8.23,8.3
1b,439,AceRub,5.92,6,6.15
1b,500,AceRub,4.75,4.75,4.8
1b,101,FraCar,12.49,12.61,12.71
1b,103,FraCar,4.48,4.5,4.62
1b,104,FraCar,4.35,4.47,4.59
1b,105,FraCar,4.72,4.9,5.11
1b,106,FraCar,4.27,4.31,4.31
1b,113,FraCar,4.27,4.29,4.3
1b,127,FraCar,8.63,8.63,8.63
1b,130,FraCar,14.3,14.49,14.62
1b,137,FraCar,6.05,6.07,6.1
1b,138,FraCar,6.42,6.6,6.79
1b,173,FraCar,5.22,5.23,5.24
1b,174,FraCar,6.52,6.6,6.69
1b,175,FraCar,4.47,4.6,4.88
1b,182,FraCar,4.36,4.42,4.43
1b,133,FraPro,6.44,6.49,6.62
1b,139,MorCer,10.6,10.62,10.65
1b,150,MorCer,4.65,4.8,5
1b,153,MorCer,5.55,5.7,5.7
1b,197,NysAqu,36.67,36.74,36.85
1b,303,NysAqu,39.3,39.55,39.92
1b,304,NysAqu,39.14,39.38,39.83
1b,308,NysAqu,31.5,31.67,31.98
1b,438,NysAqu,30.19,30.4,31.01
1b,190,SalNig,14.01,14.08,14.34
1b,301,SalNig,6.36,6.38,6.4
1b,102,TaxDis,47.8,48.37,49.08
