site,sp,Y2017,Y2018,Y2019,diameter_2017_avg
s1a,NysAqu,80.8,105.9,101.5,30.0444
s1a,TaxDis,289.43,397.5,404.1,25.71
s1b,NysAqu,57.95,39.4,49.55,33.05
s1b,TaxDis,267.08,271.83,304,21.2
s2a,NysAqu,156.89,222.18,174.74,20.36
s2a,TaxDis,142,160.15,181.45,39.99
s2b,NysAqu,394.84,198.02,171.4,21
s2b,TaxDis,412.14,155.5,209.76,32.21
s3a,NysAqu,136.3,194.84,121.34,18.98
s3a,TaxDis,149.05,166.09,242.86,26.94
s3b,NysAqu,132.8,160.2,191.24,17.47
s3b,TaxDis,165,111.79,123.74,37.52
s4a,NysAqu,137.9,97.5,78.48,36.03
s4a,TaxDis,432.21,332.96,326.7,30.93
s4b,NysAqu,168.57,195.95,141.65,24.98
s4b,TaxDis,153.12,104.2,119.98,51.9
s5a,NysAqu,91.8,90.96,90,35.72
s5a,TaxDis,357.7,427.4,407.07,28.85
s5b,NysAqu,51.8,124.4,106.47,31.91
s5b,TaxDis,179.3,386.92,374.5,24.99
s6a,NysAqu,64.68,75.35,61.8,30.41
s6a,TaxDis,309.5,339.56,327.64,35.8
s6b,NysAqu,52.1,71.51,73.57,27.41
s6b,TaxDis,286.27,323.9,498.7,47.54
s7a,NysAqu,45.79,84.83,34.97,27.96
s7a,TaxDis,367.4,526.54,415.06,37.4
s7b,NysAqu,110.1,92.88,81.05,28.44
s7b,TaxDis,447.3,418.04,422.72,36.18
s8a,NysAqu,83.6,14.74,43.81,34.63
s8a,TaxDis,320.44,340.68,446.5,38.72
s8b,NysAqu,181.84,294.81,196.62,24.17
s8b,TaxDis,106.12,160.25,171.89,33.53
